phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+MedicalHistory,delta
ID,phecode_001,Salmonella,"0.53 (0.524, 0.536)","0.882 (0.879, 0.885)","0.352 (0.345, 0.36)"
ID,phecode_002,Staphylococcus,"0.598 (0.592, 0.603)","0.709 (0.703, 0.715)","0.111 (0.105, 0.117)"
ID,phecode_002-1,Staphylococcus aureus,"0.619 (0.611, 0.626)","0.738 (0.731, 0.745)","0.119 (0.111, 0.127)"
ID,phecode_003,Escherichia coli,"0.631 (0.626, 0.637)","0.712 (0.706, 0.716)","0.081 (0.074, 0.085)"
ID,phecode_004,Streptococcus,"0.554 (0.55, 0.558)","0.801 (0.798, 0.804)","0.248 (0.243, 0.252)"
ID,phecode_004-1,Streptococcus pneumoniae,"0.616 (0.608, 0.625)","0.819 (0.812, 0.826)","0.202 (0.191, 0.213)"
ID,phecode_005,Mycobacteria,"0.557 (0.554, 0.559)","0.896 (0.895, 0.897)","0.338 (0.336, 0.341)"
ID,phecode_005-1,Mycobacterium tuberculosis,"0.557 (0.554, 0.559)","0.897 (0.896, 0.898)","0.34 (0.337, 0.343)"
ID,phecode_006,Neisseria,"0.517 (0.513, 0.521)","0.875 (0.874, 0.877)","0.358 (0.354, 0.362)"
ID,phecode_006-2,Neisseria gonorrhea,"0.517 (0.513, 0.521)","0.877 (0.875, 0.879)","0.36 (0.355, 0.364)"
ID,phecode_007,Hemophilus infection,"0.621 (0.613, 0.628)","0.847 (0.841, 0.853)","0.226 (0.217, 0.235)"
ID,phecode_007-1,Hemophilus influenzae,"0.633 (0.624, 0.643)","0.85 (0.843, 0.856)","0.217 (0.207, 0.228)"
ID,phecode_009,Pseudomonas,"0.667 (0.655, 0.674)","0.787 (0.779, 0.798)","0.123 (0.112, 0.134)"
ID,phecode_010,Corynebacterium,"0.534 (0.531, 0.539)","0.879 (0.878, 0.881)","0.345 (0.34, 0.349)"
ID,phecode_015,Clostridium,"0.64 (0.631, 0.653)","0.743 (0.733, 0.754)","0.103 (0.092, 0.115)"
ID,phecode_016,Chlamydia,"0.526 (0.522, 0.53)","0.874 (0.872, 0.876)","0.348 (0.343, 0.352)"
ID,phecode_016-1,Chlamydia trachomatis,"0.56 (0.555, 0.564)","0.875 (0.873, 0.877)","0.315 (0.31, 0.32)"
ID,phecode_019,Treponema,"0.57 (0.566, 0.577)","0.886 (0.883, 0.888)","0.315 (0.309, 0.32)"
ID,phecode_023,Vibrio,"0.533 (0.526, 0.539)","0.891 (0.888, 0.893)","0.357 (0.351, 0.365)"
ID,phecode_027,Shigella,"0.532 (0.525, 0.539)","0.89 (0.887, 0.892)","0.358 (0.351, 0.366)"
ID,phecode_030,Campylobacter,"0.562 (0.55, 0.573)","0.768 (0.761, 0.777)","0.207 (0.195, 0.221)"
ID,phecode_033,Francisella,"0.572 (0.565, 0.578)","0.872 (0.87, 0.875)","0.3 (0.295, 0.307)"
ID,phecode_050,Enterovirus,"0.519 (0.515, 0.523)","0.884 (0.881, 0.885)","0.364 (0.36, 0.369)"
ID,phecode_050-5,Enteroviral vesicular pharyngitis,"0.518 (0.513, 0.522)","0.887 (0.885, 0.889)","0.369 (0.365, 0.374)"
ID,phecode_052,Herpesvirus,"0.544 (0.541, 0.547)","0.848 (0.846, 0.849)","0.303 (0.3, 0.307)"
ID,phecode_052-1,Herpes simplex,"0.54 (0.538, 0.543)","0.873 (0.871, 0.874)","0.332 (0.33, 0.335)"
ID,phecode_052-3,Varicella zoster virus,"0.569 (0.566, 0.572)","0.833 (0.831, 0.835)","0.264 (0.261, 0.268)"
ID,phecode_052-31,Varicella [chickenpox],"0.585 (0.559, 0.609)","0.738 (0.718, 0.76)","0.154 (0.121, 0.187)"
ID,phecode_052-32,Herpes zoster,"0.57 (0.567, 0.573)","0.834 (0.832, 0.835)","0.264 (0.261, 0.267)"
